e5f3ac820 | ALIVE-AT-CAP | steps=20400 | wave=22 | t=680 | gold=200 | hash=- |  | s-att: the owner's evening rulings recorded (same air on all
502a398d9 | ALIVE-AT-CAP | steps=20400 | wave=22 | t=680 | gold=200 | hash=- |  | task: hero-move-verb + mare-claim-air-prevalent (owner rulin
78fe8e586 | ALIVE-AT-CAP | steps=20400 | wave=22 | t=680 | gold=200 | hash=- |  | docs: handover — the E10S ladder closed, the morning's final
41b1e63cf | ALIVE-AT-CAP | steps=20400 | wave=22 | t=680 | gold=200 | hash=- |  | task: the morning wave — relay-valley-winnable, dome-basin-w
032ccd392 | SECURES | steps=18001 | wave=20 | t=600 | gold=200 | hash=fnv1a32:f0fbaa92 |  | feat: gauntlet-heat11 — the F-HEAT11-1 fix admits three refu
55ac2976f | ALIVE-AT-CAP | steps=20400 | wave=22 | t=680 | gold=200 | hash=- |  | merge: bounded-prefetch-town-halls — the town's bulk halls a
2fb1f6151 | ALIVE-AT-CAP | steps=20400 | wave=22 | t=680 | gold=200 | hash=- |  | attended: lock ACTIVE — draining the four Astra lane outputs
f429f19c6 | ALIVE-AT-CAP | steps=20400 | wave=22 | t=680 | gold=200 | hash=- |  | author: the Astra fix wave — eight masters (Lantern world st
de21da4f5 | ALIVE-AT-CAP | steps=20400 | wave=22 | t=680 | gold=200 | hash=- |  | merge: e3-moth-season — the sabotageable light circuit lands
a65ea2c17 | SECURES | steps=18001 | wave=20 | t=600 | gold=200 | hash=fnv1a32:f0fbaa92 |  | feat: merge lane/d e8-remaining-maps — Far Side, Low Orbit a
b38d60295 | ALIVE-AT-CAP | steps=20400 | wave=22 | t=680 | gold=200 | hash=- |  | feat: merge lane/b e7-playbook-rows — the four Signal Era ma
0958456a4 | SECURES | steps=18001 | wave=20 | t=600 | gold=200 | hash=fnv1a32:f0fbaa92 |  | drain bookkeeping: e8-remaining-maps SHIPPED a65ea2c17 — lea
