[10:14:09] BANK RUN 1: difficulty=trail meta={"territory":0,"science":0,"hero":0,"agent":0} search="?contract=the-claim" __GR_TEST__=false rung=0
[10:14:33]   house build: turret at {"x":0,"z":-8}
[10:14:35]   level-up: took double_tap_coil
[10:15:15]   house build: turret at {"x":7,"z":8}
[10:15:56]   house build: sentry_beacon at {"x":13,"z":-7}
[10:16:05]   level-up: took beacon_dynamo
[10:16:06]   level-up: took double_tap_coil
[10:16:17]   house build: turret at {"x":-4,"z":8}
[10:16:21]   level-up: took split_spark
[10:16:41]   level-up: took split_spark
[10:16:50]   level-up: took heavy_spark
[10:17:08]   level-up: took tinkers_plating
[10:17:13]   watchdog: hero pinned with keys held — sliding (#1)
[10:17:18]   level-up: took tinkers_plating
[10:17:22]   house build: sentry_beacon at {"x":-5,"z":7}
[10:17:37]   level-up: took heavy_spark
[10:17:38]   house build: sentry_beacon at {"x":3,"z":7}
[10:17:51]   level-up: took heavy_spark
[10:18:10]   level-up: took double_tap_coil
[10:18:23]   level-up: took prospectors_luck
[10:18:31]   house build: sentry_beacon at {"x":-17,"z":-7}
[10:18:46]   level-up: took quick_fuse
[10:18:53]   watchdog: hero pinned with keys held — sliding (#2)
[10:18:59]   level-up: took tinkers_plating
[10:19:09] BANK RUN 1: secured at wave 10 in 299s
[10:19:11]   meta now: {"territory":1,"science":2,"hero":1,"agent":1}
[10:19:14] BANK RUN 2: difficulty=trail meta={"territory":1,"science":2,"hero":1,"agent":1} search="?contract=the-claim" __GR_TEST__=false rung=1
[10:19:46]   level-up: took double_tap_coil
[10:19:53]   house build: turret at {"x":6,"z":8}
[10:19:58]   level-up: took wide_ring
[10:20:21]   level-up: took heavy_spark
[10:20:30]   house build: turret at {"x":7,"z":8}
[10:20:44]   level-up: took double_tap_coil
[10:21:12]   house build: sentry_beacon at {"x":13,"z":-7}
[10:21:15]   level-up: took double_tap_coil
[10:21:34]   house build: turret at {"x":-4,"z":7}
[10:21:37]   level-up: took long_resonator
[10:21:58]   level-up: took beacon_dynamo
[10:22:19]   level-up: took beacon_dynamo
[10:22:34]   watchdog: hero pinned with keys held — sliding (#1)
[10:22:40]   level-up: took heavy_spark
[10:22:45]   level-up: took heavy_spark
[10:22:48]   house build: sentry_beacon at {"x":-5,"z":7}
[10:22:52]   level-up: took long_resonator
[10:23:15]   level-up: took prospectors_luck
[10:23:27]   level-up: took prospectors_luck
[10:23:33]   house build: sentry_beacon at {"x":1,"z":-8}
[10:23:49]   level-up: took tinkers_plating
[10:23:58]   watchdog: hero pinned with keys held — sliding (#2)
[10:24:06]   watchdog: hero pinned with keys held — sliding (#3)
[10:24:18]   level-up: took split_spark
[10:24:24]   house build: sentry_beacon at {"x":20,"z":7}
[10:24:24] BANK RUN 2: secured at wave 10 in 309s
[10:24:27]   meta now: {"territory":2,"science":4,"hero":2,"agent":2}
[10:24:30] BANK RUN 3: difficulty=trail meta={"territory":2,"science":4,"hero":2,"agent":2} search="?contract=the-claim" __GR_TEST__=false rung=2
[10:24:54]   house build: turret at {"x":0,"z":-7}
[10:24:55]   level-up: took double_tap_coil
[10:25:00]   level-up: took wide_ring
[10:25:37]   house build: turret at {"x":6,"z":8}
[10:25:38]   level-up: took heavy_spark
[10:25:47]   level-up: took double_tap_coil
[10:26:11]   level-up: took double_tap_coil
[10:26:22]   house build: sentry_beacon at {"x":4,"z":9}
[10:26:29]   level-up: took long_resonator
[10:26:41]   house build: turret at {"x":-4,"z":7}
[10:26:46]   level-up: took beacon_dynamo
[10:27:07]   level-up: took beacon_dynamo
[10:27:22]   level-up: took heavy_spark
[10:27:42]   watchdog: hero pinned with keys held — sliding (#1)
[10:27:46]   watchdog: hero pinned with keys held — sliding (#2)
[10:27:51]   watchdog: hero pinned with keys held — sliding (#3)
[10:28:00]   house build: sentry_beacon at {"x":-5,"z":7}
[10:28:00]   level-up: took heavy_spark
[10:28:13]   level-up: took long_resonator
[10:28:30]   house build: sentry_beacon at {"x":-7,"z":7}
[10:28:31]   level-up: took prospectors_luck
[10:28:56]   level-up: took prospectors_luck
[10:28:58]   level-up: took tinkers_plating
[10:29:22]   house build: sentry_beacon at {"x":20,"z":7}
[10:29:27]   level-up: took split_spark
[10:29:30] BANK RUN 3: secured at wave 10 in 299s
[10:29:33]   meta now: {"territory":3,"science":6,"hero":3,"agent":3}
[10:29:33] agent track 3 >= 3 — banking done
[10:29:33] segment r2-bank-r2a: 932s  consoleErrors=0 pageErrors=0
